date,food_item,demand,holiday
2024-02-08,Pasta,73,0
2024-02-08,Salad,48,0
2024-02-08,Sandwich,105,0
2024-02-08,Rice Bowl,81,0
2024-02-08,Noodles,76,0
2024-02-08,Soup,34,0
2024-02-09,Pizza,74,0
2024-02-09,Burger,136,0
2024-02-09,Pasta,91,0
2024-02-09,Salad,62,0
2024-02-09,Sandwich,99,0
2024-02-09,Rice Bowl,84,0
2024-02-09,Noodles,74,0
2024-02-09,Soup,41,0
2024-02-10,Pizza,137,0
2024-02-10,Burger,183,0
2024-02-10,Pasta,125,0
2024-02-10,Salad,77,0
2024-02-10,Sandwich,179,0
2024-02-10,Rice Bowl,157,0
2024-02-10,Noodles,129,0
2024-02-10,Soup,70,0
2024-02-11,Pizza,120,0
2024-02-11,Burger,140,0
2024-02-11,Pasta,102,0
2024-02-11,Salad,86,0
2024-02-11,Sandwich,113,0
2024-02-11,Rice Bowl,112,0
2024-02-11,Noodles,95,0
2024-02-11,Soup,50,0
2024-02-12,Pizza,82,0
2024-02-12,Burger,97,0
2024-02-12,Pasta,62,0
2024-02-12,Salad,37,0
2024-02-12,Sandwich,80,0
2024-02-12,Rice Bowl,75,0
2024-02-12,Noodles,58,0
2024-02-12,Soup,35,0
2024-02-13,Pizza,72,0
2024-02-13,Burger,99,0
2024-02-13,Pasta,70,0
2024-02-13,Salad,38,0
2024-02-13,Sandwich,81,0
2024-02-13,Rice Bowl,84,0
2024-02-13,Noodles,71,0
2024-02-13,Soup,43,0
2024-02-14,Pizza,85,0
2024-02-14,Burger,86,0
2024-02-14,Pasta,57,0
2024-02-14,Salad,52,0
2024-02-14,Sandwich,72,0
2024-02-14,Rice Bowl,87,0
2024-02-14,Noodles,88,0
2024-02-14,Soup,41,0
2024-02-15,Pizza,80,0
2024-02-15,Burger,111,0
2024-02-15,Pasta,72,0
2024-02-15,Salad,53,0
2024-02-15,Sandwich,111,0
2024-02-15,Rice Bowl,85,0
2024-02-15,Noodles,93,0
2024-02-15,Soup,48,0
2024-02-16,Pizza,80,0
2024-02-16,Burger,95,0
2024-02-16,Pasta,67,0
2024-02-16,Salad,46,0
2024-02-16,Sandwich,86,0
2024-02-16,Rice Bowl,104,0
2024-02-16,Noodles,71,0
2024-02-16,Soup,42,0
2024-02-17,Pizza,153,0
2024-02-17,Burger,136,0
2024-02-17,Pasta,133,0
2024-02-17,Salad,77,0
2024-02-17,Sandwich,128,0
2024-02-17,Rice Bowl,154,0
2024-02-17,Noodles,133,0
2024-02-17,Soup,77,0
2024-02-18,Pizza,136,0
2024-02-18,Burger,174,0
2024-02-18,Pasta,99,0
2024-02-18,Salad,67,0
2024-02-18,Sandwich,154,0
2024-02-18,Rice Bowl,148,0
2024-02-18,Noodles,139,0
2024-02-18,Soup,60,0
2024-02-19,Pizza,68,0
2024-02-19,Burger,99,0
2024-02-19,Pasta,58,0
2024-02-19,Salad,52,0
2024-02-19,Sandwich,92,0
2024-02-19,Rice Bowl,74,0
2024-02-19,Noodles,74,0
2024-02-19,Soup,39,0
2024-02-20,Pizza,63,0
2024-02-20,Burger,110,0
2024-02-20,Pasta,66,0
2024-02-20,Salad,53,0
2024-02-20,Sandwich,79,0
2024-02-20,Rice Bowl,93,0
2024-02-20,Noodles,68,0
2024-02-20,Soup,30,0
2024-02-21,Pizza,92,0
2024-02-21,Burger,83,0
2024-02-21,Pasta,64,0
2024-02-21,Salad,59,0
2024-02-21,Sandwich,106,0
2024-02-21,Rice Bowl,87,0
2024-02-21,Noodles,78,0
2024-02-21,Soup,39,0
2024-02-22,Pizza,77,0
2024-02-22,Burger,97,0
2024-02-22,Pasta,78,0
2024-02-22,Salad,57,0
2024-02-22,Sandwich,105,0
2024-02-22,Rice Bowl,99,0
2024-02-22,Noodles,65,0
2024-02-22,Soup,41,0
2024-02-23,Pizza,75,0
2024-02-23,Burger,117,0
2024-02-23,Pasta,78,0
2024-02-23,Salad,66,0
2024-02-23,Sandwich,97,0
2024-02-23,Rice Bowl,82,0
2024-02-23,Noodles,73,0
2024-02-23,Soup,50,0
2024-02-24,Pizza,141,0
2024-02-24,Burger,142,0
2024-02-24,Pasta,98,0
2024-02-24,Salad,91,0
2024-02-24,Sandwich,126,0
2024-02-24,Rice Bowl,162,0
2024-02-24,Noodles,137,0
2024-02-24,Soup,56,0
2024-02-25,Pizza,104,0
2024-02-25,Burger,186,0
2024-02-25,Pasta,103,0
2024-02-25,Salad,73,0
2024-02-25,Sandwich,157,0
2024-02-25,Rice Bowl,156,0
2024-02-25,Noodles,139,0
2024-02-25,Soup,68,0
2024-02-26,Pizza,68,0
2024-02-26,Burger,75,0
2024-02-26,Pasta,69,0
2024-02-26,Salad,46,0
2024-02-26,Sandwich,78,0
2024-02-26,Rice Bowl,88,0
2024-02-26,Noodles,57,0
2024-02-26,Soup,35,0
2024-02-27,Pizza,61,0
2024-02-27,Burger,93,0
2024-02-27,Pasta,54,0
2024-02-27,Salad,40,0
2024-02-27,Sandwich,72,0
2024-02-27,Rice Bowl,85,0
2024-02-27,Noodles,78,0
2024-02-27,Soup,39,0
2024-02-28,Pizza,94,0
2024-02-28,Burger,94,0
2024-02-28,Pasta,63,0
2024-02-28,Salad,57,0
2024-02-28,Sandwich,80,0
2024-02-28,Rice Bowl,100,0
2024-02-28,Noodles,60,0
2024-02-28,Soup,47,0
2024-02-29,Pizza,68,0
2024-02-29,Burger,121,0
2024-02-29,Pasta,74,0
2024-02-29,Salad,62,0
2024-02-29,Sandwich,78,0
2024-02-29,Rice Bowl,91,0
2024-02-29,Noodles,93,0
2024-02-29,Soup,42,0
2024-03-01,Pizza,96,0
2024-03-01,Burger,124,0
2024-03-01,Pasta,79,0
2024-03-01,Salad,60,0
2024-03-01,Sandwich,106,0
2024-03-01,Rice Bowl,113,0
2024-03-01,Noodles,70,0
2024-03-01,Soup,41,0
2024-03-02,Pizza,159,0
2024-03-02,Burger,195,0
2024-03-02,Pasta,116,0
2024-03-02,Salad,88,0
2024-03-02,Sandwich,138,0
2024-03-02,Rice Bowl,125,0
2024-03-02,Noodles,124,0
2024-03-02,Soup,63,0
2024-03-03,Pizza,128,0
2024-03-03,Burger,129,0
2024-03-03,Pasta,129,0
2024-03-03,Salad,93,0
2024-03-03,Sandwich,151,0
2024-03-03,Rice Bowl,134,0
2024-03-03,Noodles,108,0
2024-03-03,Soup,70,0
2024-03-04,Pizza,77,0
2024-03-04,Burger,77,0
2024-03-04,Pasta,73,0
2024-03-04,Salad,50,0
2024-03-04,Sandwich,95,0
2024-03-04,Rice Bowl,83,0
2024-03-04,Noodles,70,0
2024-03-04,Soup,34,0
2024-03-05,Pizza,89,0
2024-03-05,Burger,108,0
2024-03-05,Pasta,54,0
2024-03-05,Salad,38,0
2024-03-05,Sandwich,81,0
2024-03-05,Rice Bowl,90,0
2024-03-05,Noodles,85,0
2024-03-05,Soup,32,0
2024-03-06,Pizza,83,0
2024-03-06,Burger,95,0
2024-03-06,Pasta,83,0
2024-03-06,Salad,56,0
2024-03-06,Sandwich,102,0
2024-03-06,Rice Bowl,83,0
2024-03-06,Noodles,72,0
2024-03-06,Soup,36,0
2024-03-07,Pizza,69,0
2024-03-07,Burger,120,0
2024-03-07,Pasta,82,0
2024-03-07,Salad,62,0
2024-03-07,Sandwich,113,0
2024-03-07,Rice Bowl,91,0
2024-03-07,Noodles,87,0
2024-03-07,Soup,49,0
2024-03-08,Pizza,104,0
2024-03-08,Burger,103,0
2024-03-08,Pasta,78,0
2024-03-08,Salad,48,0
2024-03-08,Sandwich,122,0
2024-03-08,Rice Bowl,101,0
2024-03-08,Noodles,76,0
2024-03-08,Soup,49,0
2024-03-09,Pizza,141,0
2024-03-09,Burger,159,0
2024-03-09,Pasta,100,0
2024-03-09,Salad,90,0
2024-03-09,Sandwich,153,0
2024-03-09,Rice Bowl,159,0
2024-03-09,Noodles,127,0
2024-03-09,Soup,77,0
2024-03-10,Pizza,127,0
2024-03-10,Burger,159,0
2024-03-10,Pasta,125,0
2024-03-10,Salad,74,0
2024-03-10,Sandwich,119,0
2024-03-10,Rice Bowl,107,0
2024-03-10,Noodles,128,0
2024-03-10,Soup,65,0
2024-03-11,Pizza,77,0
2024-03-11,Burger,79,0
2024-03-11,Pasta,53,0
2024-03-11,Salad,36,0
2024-03-11,Sandwich,76,0
2024-03-11,Rice Bowl,79,0
2024-03-11,Noodles,64,0
2024-03-11,Soup,35,0
2024-03-12,Pizza,88,0
2024-03-12,Burger,89,0
2024-03-12,Pasta,66,0
2024-03-12,Salad,52,0
2024-03-12,Sandwich,81,0
2024-03-12,Rice Bowl,84,0
2024-03-12,Noodles,81,0
2024-03-12,Soup,44,0
2024-03-13,Pizza,68,0
2024-03-13,Burger,117,0
2024-03-13,Pasta,69,0
2024-03-13,Salad,45,0
2024-03-13,Sandwich,88,0
2024-03-13,Rice Bowl,101,0
2024-03-13,Noodles,74,0
2024-03-13,Soup,37,0
2024-03-14,Pizza,88,0
2024-03-14,Burger,94,0
2024-03-14,Pasta,61,0
2024-03-14,Salad,44,0
2024-03-14,Sandwich,80,0
2024-03-14,Rice Bowl,76,0
2024-03-14,Noodles,67,0
2024-03-14,Soup,44,0
2024-03-15,Pizza,80,0
2024-03-15,Burger,107,0
2024-03-15,Pasta,93,0
2024-03-15,Salad,56,0
2024-03-15,Sandwich,110,0
2024-03-15,Rice Bowl,84,0
2024-03-15,Noodles,75,0
2024-03-15,Soup,37,0
2024-03-16,Pizza,117,0
2024-03-16,Burger,154,0
2024-03-16,Pasta,103,0
2024-03-16,Salad,70,0
2024-03-16,Sandwich,129,0
2024-03-16,Rice Bowl,141,0
2024-03-16,Noodles,111,0
2024-03-16,Soup,63,0
2024-03-17,Pizza,124,0
2024-03-17,Burger,167,0
2024-03-17,Pasta,89,0
2024-03-17,Salad,87,0
2024-03-17,Sandwich,147,0
2024-03-17,Rice Bowl,110,0
2024-03-17,Noodles,134,0
2024-03-17,Soup,72,0
2024-03-18,Pizza,59,0
2024-03-18,Burger,81,0
2024-03-18,Pasta,70,0
2024-03-18,Salad,49,0
2024-03-18,Sandwich,70,0
2024-03-18,Rice Bowl,67,0
2024-03-18,Noodles,64,0
2024-03-18,Soup,35,0
2024-03-19,Pizza,79,0
2024-03-19,Burger,90,0
2024-03-19,Pasta,65,0
2024-03-19,Salad,52,0
2024-03-19,Sandwich,69,0
2024-03-19,Rice Bowl,72,0
2024-03-19,Noodles,77,0
2024-03-19,Soup,44,0
2024-03-20,Pizza,80,0
2024-03-20,Burger,101,0
2024-03-20,Pasta,59,0
2024-03-20,Salad,48,0
2024-03-20,Sandwich,91,0
2024-03-20,Rice Bowl,76,0
2024-03-20,Noodles,68,0
2024-03-20,Soup,38,0
2024-03-21,Pizza,67,0
2024-03-21,Burger,97,0
2024-03-21,Pasta,65,0
2024-03-21,Salad,48,0
2024-03-21,Sandwich,80,0
2024-03-21,Rice Bowl,103,0
2024-03-21,Noodles,81,0
2024-03-21,Soup,45,0
2024-03-22,Pizza,102,0
2024-03-22,Burger,114,0
2024-03-22,Pasta,67,0
2024-03-22,Salad,58,0
2024-03-22,Sandwich,107,0
2024-03-22,Rice Bowl,107,0
2024-03-22,Noodles,83,0
2024-03-22,Soup,39,0
2024-03-23,Pizza,123,0
2024-03-23,Burger,159,0
2024-03-23,Pasta,125,0
2024-03-23,Salad,86,0
2024-03-23,Sandwich,143,0
2024-03-23,Rice Bowl,171,0
2024-03-23,Noodles,132,0
2024-03-23,Soup,60,0
2024-03-24,Pizza,104,0
2024-03-24,Burger,134,0
2024-03-24,Pasta,98,0
2024-03-24,Salad,67,0
2024-03-24,Sandwich,122,0
2024-03-24,Rice Bowl,121,0
2024-03-24,Noodles,101,0
2024-03-24,Soup,72,0
2024-03-25,Pizza,59,0
2024-03-25,Burger,90,0
2024-03-25,Pasta,60,0
2024-03-25,Salad,53,0
2024-03-25,Sandwich,68,0
2024-03-25,Rice Bowl,73,0
2024-03-25,Noodles,80,0
2024-03-25,Soup,41,0
2024-03-26,Pizza,85,0
2024-03-26,Burger,85,0
2024-03-26,Pasta,57,0
2024-03-26,Salad,50,0
2024-03-26,Sandwich,100,0
2024-03-26,Rice Bowl,82,0
2024-03-26,Noodles,73,0
2024-03-26,Soup,34,0
2024-03-27,Pizza,88,0
2024-03-27,Burger,87,0
2024-03-27,Pasta,65,0
2024-03-27,Salad,48,0
2024-03-27,Sandwich,90,0
2024-03-27,Rice Bowl,76,0
2024-03-27,Noodles,63,0
2024-03-27,Soup,41,0
2024-03-28,Pizza,76,0
2024-03-28,Burger,108,0
2024-03-28,Pasta,63,0
2024-03-28,Salad,52,0
2024-03-28,Sandwich,95,0
2024-03-28,Rice Bowl,73,0
2024-03-28,Noodles,73,0
2024-03-28,Soup,35,0
2024-03-29,Pizza,75,0
2024-03-29,Burger,137,0
2024-03-29,Pasta,74,0
2024-03-29,Salad,64,0
2024-03-29,Sandwich,93,0
2024-03-29,Rice Bowl,104,0
2024-03-29,Noodles,95,0
2024-03-29,Soup,47,0
2024-03-30,Pizza,133,0
2024-03-30,Burger,163,0
2024-03-30,Pasta,111,0
2024-03-30,Salad,99,0
2024-03-30,Sandwich,172,0
2024-03-30,Rice Bowl,170,0
2024-03-30,Noodles,107,0
2024-03-30,Soup,73,0
2024-03-31,Pizza,146,0
2024-03-31,Burger,136,0
2024-03-31,Pasta,90,0
2024-03-31,Salad,85,0
2024-03-31,Sandwich,144,0
2024-03-31,Rice Bowl,150,0
2024-03-31,Noodles,100,0
2024-03-31,Soup,69,0
2024-04-01,Pizza,63,0
2024-04-01,Burger,77,0
2024-04-01,Pasta,54,0
2024-04-01,Salad,50,0
2024-04-01,Sandwich,86,0
2024-04-01,Rice Bowl,77,0
2024-04-01,Noodles,63,0
2024-04-01,Soup,41,0
2024-04-02,Pizza,72,0
2024-04-02,Burger,107,0
2024-04-02,Pasta,64,0
2024-04-02,Salad,45,0
2024-04-02,Sandwich,84,0
2024-04-02,Rice Bowl,74,0
2024-04-02,Noodles,78,0
2024-04-02,Soup,38,0
2024-04-03,Pizza,71,0
2024-04-03,Burger,115,0
2024-04-03,Pasta,66,0
2024-04-03,Salad,50,0
2024-04-03,Sandwich,104,0
2024-04-03,Rice Bowl,89,0
2024-04-03,Noodles,63,0
2024-04-03,Soup,47,0
2024-04-04,Pizza,88,0
2024-04-04,Burger,98,0
2024-04-04,Pasta,62,0
2024-04-04,Salad,58,0
2024-04-04,Sandwich,99,0
2024-04-04,Rice Bowl,90,0
2024-04-04,Noodles,91,0
2024-04-04,Soup,46,0
2024-04-05,Pizza,79,0
2024-04-05,Burger,106,0
2024-04-05,Pasta,72,0
2024-04-05,Salad,63,0
2024-04-05,Sandwich,84,0
2024-04-05,Rice Bowl,100,0
2024-04-05,Noodles,95,0
2024-04-05,Soup,52,0
2024-04-06,Pizza,126,0
2024-04-06,Burger,190,0
2024-04-06,Pasta,99,0
2024-04-06,Salad,96,0
2024-04-06,Sandwich,129,0
2024-04-06,Rice Bowl,137,0
2024-04-06,Noodles,141,0
2024-04-06,Soup,58,0
2024-04-07,Pizza,111,0
2024-04-07,Burger,169,0
2024-04-07,Pasta,118,0
2024-04-07,Salad,82,0
2024-04-07,Sandwich,151,0
2024-04-07,Rice Bowl,134,0
2024-04-07,Noodles,105,0
2024-04-07,Soup,58,0
2024-04-08,Pizza,62,0
2024-04-08,Burger,104,0
2024-04-08,Pasta,65,0
2024-04-08,Salad,43,0
2024-04-08,Sandwich,79,0
2024-04-08,Rice Bowl,90,0
2024-04-08,Noodles,58,0
2024-04-08,Soup,37,0
2024-04-09,Pizza,76,0
2024-04-09,Burger,99,0
2024-04-09,Pasta,53,0
2024-04-09,Salad,54,0
2024-04-09,Sandwich,100,0
2024-04-09,Rice Bowl,82,0
2024-04-09,Noodles,76,0
2024-04-09,Soup,44,0
2024-04-10,Pizza,86,0
2024-04-10,Burger,86,0
2024-04-10,Pasta,72,0
2024-04-10,Salad,52,0
2024-04-10,Sandwich,87,0
2024-04-10,Rice Bowl,93,0
2024-04-10,Noodles,88,0
2024-04-10,Soup,46,0
2024-04-11,Pizza,82,0
2024-04-11,Burger,88,0
2024-04-11,Pasta,87,0
2024-04-11,Salad,59,0
2024-04-11,Sandwich,80,0
2024-04-11,Rice Bowl,104,0
2024-04-11,Noodles,90,0
2024-04-11,Soup,42,0
2024-04-12,Pizza,95,0
2024-04-12,Burger,110,0
2024-04-12,Pasta,66,0
2024-04-12,Salad,53,0
2024-04-12,Sandwich,116,0
2024-04-12,Rice Bowl,78,0
2024-04-12,Noodles,80,0
2024-04-12,Soup,44,0
2024-04-13,Pizza,137,0
2024-04-13,Burger,197,0
2024-04-13,Pasta,111,0
2024-04-13,Salad,79,0
2024-04-13,Sandwich,166,0
2024-04-13,Rice Bowl,140,0
2024-04-13,Noodles,112,0
2024-04-13,Soup,66,0
2024-04-14,Pizza,106,0
2024-04-14,Burger,135,0
2024-04-14,Pasta,109,0
2024-04-14,Salad,75,0
2024-04-14,Sandwich,163,0
2024-04-14,Rice Bowl,125,0
2024-04-14,Noodles,120,0
2024-04-14,Soup,65,0
2024-04-15,Pizza,57,0
2024-04-15,Burger,95,0
2024-04-15,Pasta,54,0
2024-04-15,Salad,53,0
2024-04-15,Sandwich,69,0
2024-04-15,Rice Bowl,73,0
2024-04-15,Noodles,56,0
2024-04-15,Soup,43,0
2024-04-16,Pizza,76,0
2024-04-16,Burger,98,0
2024-04-16,Pasta,54,0
2024-04-16,Salad,52,0
2024-04-16,Sandwich,75,0
2024-04-16,Rice Bowl,93,0
2024-04-16,Noodles,62,0
2024-04-16,Soup,33,0
2024-04-17,Pizza,65,0
2024-04-17,Burger,98,0
2024-04-17,Pasta,71,0
2024-04-17,Salad,41,0
2024-04-17,Sandwich,99,0
2024-04-17,Rice Bowl,83,0
2024-04-17,Noodles,75,0
2024-04-17,Soup,39,0
2024-04-18,Pizza,80,0
2024-04-18,Burger,107,0
